Nume,CodFiscal,Judet,Telefon,CodCAEN2021,DescriereCodCAEN2021,Ratio2021,Ratio2020,Ratio2019,Ratio2018,CifraDeAfaceriNetaRON2021,ProfitNetRON2021,CotaDePiata2021,Salariati2020,CifraDeAfaceriNetaRON2020,ProfitNetRON2020,CotaDePiata2020,CodCAEN2020,DescriereCodCAEN2020,Salariati2019,CifraDeAfaceriNetaRON2019,ProfitNetRON2019,CotaDePiata2019,CodCAEN2019,DescriereCodCAEN2019,Salariati2018,CifraDeAfaceriNetaRON2018,ProfitNetRON2018,CotaDePiata2018,CodCAEN2018,DescriereCodCAEN2018
SC MULTIPROD CONSULTING OMMA SRL,40473679,ALBA,-,7022,Activitati de consultanta pentru afaceri si management,0.4201000333444482,0.2753964912280702,0.81,nan,299900,125988,0%,5.0,285000.0,78488.0,0%,7022.0,Activitati de consultanta pentru afaceri si management,3.0,85000.0,68850.0,0%,7022.0,Activitati de consultanta pentru afaceri si management,nan,nan,nan,nan,nan,nan
SC CYGUARDIAN IDM S.R.L.,40399823,ALBA,-,6920,Activitati de contabilitate si audit financiar; consultanta în domeniul fiscal,0.010203034004212911,0.061641580432737535,0.3213580711453298,nan,282465,2882,0.01%,7.0,212600.0,13105.0,0.01%,6920.0,Activitati de contabilitate si audit financiar; consultanta în domeniul fiscal,3.0,172745.0,55513.0,0%,6920.0,Activitati de contabilitate si audit financiar; consultanta în domeniul fiscal,nan,nan,nan,nan,nan,nan
S.C. STAGHAUSE S.R.L.,40505827,ALBA,-,5630,Baruri si alte activitati de servire a bauturilor,0.1509834570633387,0.0,nan,nan,801611,121030,0.03%,1.0,1624.0,0.0,0%,5630.0,Baruri si alte activitati de servire a bauturilor,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
YOUNG FOODS SRL,37690899,ALBA,-,5610,Restaurante,0.1113781132782725,0.0,0.19601935707535298,nan,1195163,133115,0.01%,11.0,1191007.0,0.0,0.01%,5610.0,Restaurante,15.0,1052845.0,206378.0,0.01%,5610.0,Restaurante,nan,nan,nan,nan,nan,nan
AUGUST FOODS SRL,37692768,ALBA,-,5610,Restaurante,0.2708437741012937,0.4107127436466815,nan,nan,1666145,451265,0.01%,3.0,1296960.0,532678.0,0.01%,5610.0,Restaurante,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DABO SIBIU SRL,37723481,SIBIU,-,5610,Restaurante,0.26838071457407736,0.30901215327973847,0.4569763726659931,nan,4817835,1293014,0.03%,10.0,4468588.0,1380848.0,0.03%,5610.0,Restaurante,7.0,1543001.0,705115.0,0.01%,5610.0,Restaurante,nan,nan,nan,nan,nan,nan
ADS INDUSTRY PROCESS SRL,38351564,ALBA,-,5610,Restaurante,0.45371845039464265,0.0,0.0,0.2933154862848079,1364399,619053,0.01%,10.0,652802.0,0.0,0%,5610.0,Restaurante,1.0,93253.0,0.0,0%,4614.0,"Intermedieri în comertul cu masini, echipamente industriale, nave si avioane",2.0,528939.0,155146.0,0.02%,4614.0,"Intermedieri în comertul cu masini, echipamente industriale, nave si avioane"
DABO BIO TOTAL SRL D,40137270,SIBIU,0762462087,5610,Restaurante,0.12306139172752882,0.0,0.2814356572712386,nan,1673043,205887,0.01%,6.0,781207.0,0.0,0.01%,5610.0,Restaurante,12.0,252818.0,71152.0,0%,5610.0,Restaurante,nan,nan,nan,nan,nan,nan
JOU PARTNERS S.R.L.,40532775,SIBIU,0749201725,5610,Restaurante,0.22508883308201863,0.016305090160689522,0.3500304409853792,nan,1451036,326612,0.01%,7.0,431951.0,7043.0,0%,5610.0,Restaurante,3.0,220098.0,77041.0,0%,5610.0,Restaurante,nan,nan,nan,nan,nan,nan
PRIMO ARTIGIANO SRL,40601492,SIBIU,-,5610,Restaurante,0.4301606666916926,0.0863839275779654,nan,nan,532780,229181,0%,4.0,224683.0,19409.0,0%,5610.0,Restaurante,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
S.C. BIO REAL FOOD SRL,40525417,ALBA,-,5590,Alte servicii de cazare,0.23353550669699266,0.10257142857142858,nan,nan,79140,18482,0.01%,0.0,14000.0,1436.0,0%,1039.0,Prelucrarea si conservarea fructelor si legumelor n.c.a.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
BODROGENI CASUTE SRL,37626608,ALBA,-,5520,Facilitati de cazare pentru vacante si perioade de scurta durata,0.03266504547644806,0.24601653212359123,0.17103566531825928,0.02194145185853686,533353,17422,0.06%,5.0,392811.0,96638.0,0.04%,5520.0,Facilitati de cazare pentru vacante si perioade de scurta durata,1.0,293927.0,50272.0,0.03%,5520.0,Facilitati de cazare pentru vacante si perioade de scurta durata,1.0,88645.0,1945.0,0.01%,5520.0,Facilitati de cazare pentru vacante si perioade de scurta durata
