Nume,CodFiscal,Judet,Telefon,CifraDeAfaceriNetaRON2021,ProfitNetRON2021,CotaDePiata2021,CodCAEN2021,DescriereCodCAEN2021,Salariati2020,CifraDeAfaceriNetaRON2020,ProfitNetRON2020,CotaDePiata2020,CodCAEN2020,DescriereCodCAEN2020,Salariati2019,CifraDeAfaceriNetaRON2019,ProfitNetRON2019,CotaDePiata2019,CodCAEN2019,DescriereCodCAEN2019,Salariati2018,CifraDeAfaceriNetaRON2018,ProfitNetRON2018,CotaDePiata2018,CodCAEN2018,DescriereCodCAEN2018
S.C. ALEGRIO HEALTHCARE S.R.L.,40537330,ALBA,-,106460,0,0.03%,9604,Activitati de întretinere corporala,4.0,89079.0,0.0,0.03%,9604.0,Activitati de întretinere corporala,4.0,7591.0,0.0,0%,9604.0,Activitati de întretinere corporala,nan,nan,nan,nan,nan,nan
ELCA DEVSYS SRL,40537667,BRAŞOV,-,64805,0,0%,4321,Lucrari de instalatii electrice,4.0,28957.0,0.0,0%,4321.0,Lucrari de instalatii electrice,0.0,16964.0,0.0,0%,4321.0,Lucrari de instalatii electrice,nan,nan,nan,nan,nan,nan
S.C. CLIMBCRAFTIC S.R.L.,40537659,BRAŞOV,-,0,0,0%,3230,Fabricarea articolelor pentru sport,0.0,0.0,0.0,0%,3230.0,Fabricarea articolelor pentru sport,0.0,0.0,0.0,0%,3230.0,Fabricarea articolelor pentru sport,nan,nan,nan,nan,nan,nan
SC ROHELLAS 98 SRL,40537756,ALBA,-,214074,16041,0.05%,9313,Activitati ale centrelor de fitness,5.0,109218.0,10879.0,0.03%,9313.0,Activitati ale centrelor de fitness,0.0,3571.0,0.0,0%,9313.0,Activitati ale centrelor de fitness,nan,nan,nan,nan,nan,nan
SC RARSOR PERFORMANCE SRL,40538255,ALBA,-,32870,0,0.01%,9313,Activitati ale centrelor de fitness,4.0,0.0,0.0,0%,9313.0,Activitati ale centrelor de fitness,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
CHAKRAM STUDIOS SRL,40542027,MUREŞ,-,15200,0,0%,7420,Activitati fotografice,5.0,5700.0,0.0,0%,7420.0,Activitati fotografice,1.0,0.0,0.0,0%,7420.0,Activitati fotografice,nan,nan,nan,nan,nan,nan
VLADCON ACM SRL,40541927,MUREŞ,0725875609,0,0,0%,4120,Lucrari de constructie a cladirilor rezidentiale si nerezidentiale,4.0,48700.0,0.0,0%,4120.0,Lucrari de constructie a cladirilor rezidentiale si nerezidentiale,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
S.C.MERCUR PRINT SRL,40541986,SIBIU,0724221902,100073,18080,0.05%,3240,Fabricarea jocurilor si jucariilor,3.0,55943.0,0.0,0.03%,3240.0,Fabricarea jocurilor si jucariilor,4.0,9312.0,4307.0,0%,3240.0,Fabricarea jocurilor si jucariilor,nan,nan,nan,nan,nan,nan
DUSTA CLEAN MANAGEMENT SRL-D,40542078,MUREŞ,-,260423,113811,0.02%,8121,Activitati generale (nespecializate) de curatenie interioara a cladirilor,4.0,66540.0,0.0,0%,8121.0,Activitati generale (nespecializate) de curatenie interioara a cladirilor,0.0,0.0,0.0,0%,8121.0,Activitati generale (nespecializate) de curatenie interioara a cladirilor,nan,nan,nan,nan,nan,nan
S.C. FRIED4YOU S.R.L,40543162,BRAŞOV,-,0,0,0%,5610,Restaurante,0.0,0.0,0.0,0%,5610.0,Restaurante,0.0,0.0,0.0,0%,5610.0,Restaurante,nan,nan,nan,nan,nan,nan
PITCH EXPERTS SRL,40543340,BRAŞOV,-,285453,86233,0.02%,8130,Activitati de întretinere peisagistica,5.0,202411.0,36572.0,0.02%,8130.0,Activitati de întretinere peisagistica,2.0,0.0,0.0,0%,8130.0,Activitati de întretinere peisagistica,nan,nan,nan,nan,nan,nan
S.C.COS QUALITY CONSTRUCT S.R.L.,40543332,BRAŞOV,0751877877,244561,86749,0.01%,2361,Fabricarea produselor din beton pentru constructii,4.0,16713.0,0.0,0%,2361.0,Fabricarea produselor din beton pentru constructii,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
CASILIA RAR SRL,40543774,BRAŞOV,-,778160,66288,0.01%,4520,Întretinerea si repararea autovehiculelor,7.0,297882.0,0.0,0%,4520.0,Întretinerea si repararea autovehiculelor,0.0,0.0,0.0,0%,4520.0,Întretinerea si repararea autovehiculelor,nan,nan,nan,nan,nan,nan
NATURALISS THERAPY 888 SIB SRL,40543987,SIBIU,-,13180,0,0%,8690,Alte activitati referitoare la sanatatea umana,3.0,9362.0,0.0,0%,8690.0,Alte activitati referitoare la sanatatea umana,0.0,0.0,0.0,0%,8690.0,Alte activitati referitoare la sanatatea umana,nan,nan,nan,nan,nan,nan
TOPOGRAD RADEZ S.R.L.,40543952,SIBIU,0746115302,2000,0,0%,7112,Activitati de inginerie si consultanta tehnica legate de acestea,1.0,500.0,0.0,0%,7112.0,Activitati de inginerie si consultanta tehnica legate de acestea,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
S.C. COZONACUL PANIPROD SRL,40544150,SIBIU,0727-374021,0,0,0%,5621,Activitati de alimentatie (catering) pentru evenimente,5.0,0.0,0.0,0%,5621.0,Activitati de alimentatie (catering) pentru evenimente,0.0,0.0,0.0,0%,5621.0,Activitati de alimentatie (catering) pentru evenimente,nan,nan,nan,nan,nan,nan
S.C. MODENT CLINIC JUNIOR SRL,40544192,SIBIU,0745654466,395712,113436,0.01%,8623,Activitati de asistenta stomatologica,3.0,175223.0,49013.0,0.01%,8623.0,Activitati de asistenta stomatologica,1.0,44110.0,2526.0,0%,8623.0,Activitati de asistenta stomatologica,nan,nan,nan,nan,nan,nan
S.C. LOMYL ENDO PRACTICE SRL,40544230,SIBIU,0745644499,228506,64162,0.01%,8623,Activitati de asistenta stomatologica,3.0,130703.0,28456.0,0%,8623.0,Activitati de asistenta stomatologica,1.0,44240.0,6487.0,0%,8623.0,Activitati de asistenta stomatologica,nan,nan,nan,nan,nan,nan
SANDRA MAXI PACK SRL,40549955,ALBA,-,1765405,433747,0.04%,1721,Fabricarea hârtiei si cartonului ondulat si a ambalajelor din hârtie si carton,1.0,300866.0,33915.0,0.01%,1721.0,Fabricarea hârtiei si cartonului ondulat si a ambalajelor din hârtie si carton,0.0,0.0,0.0,0%,1721.0,Fabricarea hârtiei si cartonului ondulat si a ambalajelor din hârtie si carton,nan,nan,nan,nan,nan,nan
SPEEDMAR CONSTRUCT SRL,40551130,MUREŞ,-,975290,414574,0%,4120,Lucrari de constructie a cladirilor rezidentiale si nerezidentiale,5.0,346457.0,140625.0,0%,4120.0,Lucrari de constructie a cladirilor rezidentiale si nerezidentiale,1.0,19243.0,1144.0,0%,4120.0,Lucrari de constructie a cladirilor rezidentiale si nerezidentiale,nan,nan,nan,nan,nan,nan
SC FUTURE DESIGN BUILDING SRL,40551157,MUREŞ,-,249144,2969,0%,4120,Lucrari de constructie a cladirilor rezidentiale si nerezidentiale,5.0,216612.0,2481.0,0%,4120.0,Lucrari de constructie a cladirilor rezidentiale si nerezidentiale,3.0,22033.0,0.0,0%,4120.0,Lucrari de constructie a cladirilor rezidentiale si nerezidentiale,nan,nan,nan,nan,nan,nan
SC SZILEVO SON SRL,40551238,MUREŞ,-,530489,0,0%,4120,Lucrari de constructie a cladirilor rezidentiale si nerezidentiale,8.0,678402.0,238773.0,0%,4120.0,Lucrari de constructie a cladirilor rezidentiale si nerezidentiale,4.0,261043.0,209901.0,0%,4120.0,Lucrari de constructie a cladirilor rezidentiale si nerezidentiale,nan,nan,nan,nan,nan,nan
SC LOVE COFFEE LAND SRL,40551815,MUREŞ,0741109942,156577,26005,0.02%,1083,Prelucrarea ceaiului si cafelei,2.0,52472.0,6331.0,0%,7022.0,Activitati de consultanta pentru afaceri si management,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
